symptoms,topic
"Small bumps that look like ""goose bumps"" on the back of the upper arms and thighs,Bumps feel like very rough sandpaper,Skin-colored bumps are the size of a grain of sand,Slight pinkness may be seen around some bumps,Bumps may appear on the face and be mistaken for acne ",Keratosis pilaris
,Keratosis obturans
,Keratoconus
"Flesh-colored, red, or pink,Located over the site of a wound or injury,Lumpy or ridged,Tender and itchy,Irritated from friction such as rubbing on clothing ",Keloids
"Imagine that you are trying to keep yourself from passing gas.,Women: Insert a finger into your vagina. Tighten the muscles as if you are holding in your urine, then let go. You should feel the muscles tighten and move up and down.,Men: Insert a finger into your rectum. Tighten the muscles as if you are holding in your urine, then let go. You should feel the muscles tighten and move up and down. ",Kegel exercises - self-care
"Name of the medicine,Description of what it does,Dose,Times of day you take it,Side effects ",Keeping your medicines organized
"Bloodshot or red eyes (without pus or drainage),Bright red, chapped, or cracked lips,Red mucous membranes in the mouth,Strawberry tongue, white coating on the tongue, or visible red bumps on the back of the tongue,Red palms of the hands and the soles of the feet,Swollen hands and feet,Skin rashes on the middle of the body, NOT blister-like,Peeling skin in the genital area, hands, and feet (mostly around the nails, palms, and soles),Swollen lymph nodes in the neck (often only one lymph node is swollen),Joint pain and swelling, often on both sides of the body ,Irritability,Diarrhea, vomiting, and abdominal pain,Cough and runny nose ",Kawasaki disease
,Karyotyping
,Kaposi sarcoma
"Abscessed or ,, ,, and other infections,Swelling (inflammation) of gums (,),Sexually transmitted illness (STI),HIV, (RA) ,. Many other cancers may also cause this problem. ,Seizure medicines such as phenytoin,Typhoid ",Swollen lymph nodes
,Swimming pool granuloma
,Swimming pool cleaner poisoning
" -- yellow, yellow-green, pus-like, or foul smelling,, which may get worse when you pull on the outer ear,Itching of the ear or ear canal ",Swimmer's ear 
", including sunburn,Chronic kidney disease,Liver failure from ,Poor nutrition,Pregnancy,Thyroid disease,Too little , in the blood (hypoalbuminemia),Too much salt or sodium,Use of certain drugs, such as corticosteroids or drugs used to treat heart disease, high blood pressure, diabetes",Swelling
" is made from a low-sugar beet juice or sugar cane. It is made up of about half glucose and half fructose. Sucrose includes raw sugar, granulated sugar, brown sugar, confectioner's sugar, and turbinado sugar.,Raw sugar is granulated, solid, or coarse. It is brown in color. Raw sugar is the solid part left when the liquid from the juice of the sugar cane evaporates.,Brown sugar is made from sugar crystals that come from molasses syrup.,Confectioner's sugar (also known as powdered sugar) is finely ground sucrose.,Turbinado sugar is unrefined sugar made from sugar cane juice.,Raw and brown sugars are no healthier than granulated white sugar. , is the naturally occurring sugar in all fruits. It is also called levulose, or fruit sugar., is a combination of fructose, glucose, and water. It is produced by bees., and , are made from corn. Sugar and HFCS have almost the same level of sweetness. HFCS is often used in soft drinks, baked goods, and some canned products. ,Sugar alcohols include,These sweeteners are used as an ingredient in many food products that are labeled ""sugar-free"", ""diabetic"", or ""low carb"". These sweeteners are absorbed by the body at a much slower rate than sugar. They also have about half the calories of sugar. They should not be confused with sugar substitutes that are calorie free. Sugar alcohol may cause stomach cramps and diarrhea in some people., is a naturally occurring sugar alcohol found in fruit and fermented foods. It is 60 to 70% as sweet as table sugar, but has fewer calories. Also, it does not result in as much of a rise in blood sugar after meals or cause tooth decay. Unlike other sugar alcohols, it does not cause stomach upset. , is glucose combined with water., is used in a liquid form to help keep candies and baked items sweet., is a highly processed type of sugar from the , (tequila) plant. Agave nectar is about 1 1/2 times sweeter than regular sugar. It has about 60 calories per tablespoon or 60 calories per 12 grams, compared to 40 calories for the same amount of table sugar. Agave nectar is not healthier than honey, sugar, HFCS, or any other type of sweetener., is found in fruits in small amounts. It is also a syrup made from corn starch., (milk sugar) is the , that is in milk. It is made up of glucose and galactose., (malt sugar) is produced during fermentation. It is found in beer and breads., comes from the sap of maple trees. It is made up of sucrose, fructose, and glucose., is taken from the residue of sugar cane processing. ",Sweeteners - sugars
"A combination of two amino acids -- phenylalanine and aspartic acid,220 times sweeter than sucrose,Loses its sweetness when exposed to heat. It is best used in beverages rather than baking.,Well-studied, and hasn't shown any serious side effects,FDA approved ,600 times sweeter than sucrose,Used in many diet foods and drinks, chewing gum, frozen dairy desserts, fruit juices, and gelatin,Can be added to food at the table,FDA approved ,200 to 700 times sweeter than sucrose,Used in many diet foods and drinks.,May have a bitter or metallic aftertaste in some liquids.,Not used in cooking and baking,FDA approved ,Non-caloric plant-based sweetener,Made from the plant ,, which is grown for its sweet leaves,Common names include sweetleaf, sweet leaf, sugarleaf, or simply stevia.,Rebaudiana extract is approved as a food additive. It is considered a dietary supplement. ,An artificial sweetener,Is heat-stable, so can be used in cooking and baking,This sweetener can be added to food at the table. It is marketed for this use under the name Sweet One.,Used together with other sweeteners, such as saccharin, in carbonated low-calorie beverages and other products,Most similar to table sugar in taste and texture,FDA approved ,Artificial sweetener,Used in many diet foods and drinks,Used as a tabletop sweetener,The powdered extract of monk fruit, a round green melon that grows in central Asia.,150 to 200 times sweeter than sucrose,Heat stable and can be used in baking and cooking and is more concentrated than sugar (¼ teaspoon or 0.5 grams equals the sweetness of 1 teaspoon or 2.5 grams sugar),FDA approved ,30 times sweeter than sucrose,Banned in the United States because they were shown to cause bladder cancer in animals ",Sweeteners - sugar substitutes
"A 16-ounce (480 ml) latte with whole milk has 220 calories.,A 20-ounce (600 ml) bottle of non-diet soda has 220 calories.,A 16-ounce (480 ml) glass of sweetened ice tea has 144 calories.,A 16-ounce (480 ml) Hawaiian Punch has 120 calories.,A 16-ounce (480 ml) Ocean Spray Cran-Apple juice has 308 calories.,A 16-ounce (480 ml) sports drink has 180 calories. ,Corn syrup,Dextrose,Fructose,High fructose corn syrup,Honey,Syrup,Agave syrup,Brown rice syrup,Molasses,Evaporated cane juice ",Sweetened beverages
"Certain genetic syndromes,Certain nerve problems (neuropathies),Congenital disorders including ectodermal dysplasia,Neurologic disorders such as Guillain-Barre syndrome,Skin diseases or scarring of the skin that block sweat glands,Trauma to sweat glands,Use of certain drugs ",Sweating - absent
"Alcohol,Caffeine,Cancer,Complex regional pain syndrome,Emotional or stressful situations (anxiety),Essential hyperhidrosis,Exercise,Fever,Infection,Low blood sugar (hypoglycemia),Medicines, such as thyroid hormone, morphine, drugs to reduce fever, and medicines to treat mental disorders,Menopause,Spicy foods (known as ""gustatory sweating""),Warm temperatures,Withdrawal from alcohol or narcotic painkillers ",Sweating
,Swan-Ganz - right heart catheterization
,Sweat electrolytes test
" if it touched the eyes, and vomiting,Rash, (more common in allergic reactions), (if a large amount is swallowed),
   Wheezing (more common in allergic reactions)",Swallowing sunscreen
,Swallowing soap
"Coughing or choking, either during or after eating,Gurgling sounds from the throat, during or after eating,Throat clearing after drinking or swallowing,Slow chewing or eating,Coughing food back up after eating,Hiccups after swallowing,Chest discomfort during or after swallowing,Unexplained weight loss ",Swallowing problems 
